SURVEY,FILENAME,SOFTWARE,NUM_PTS,NUM_RET1,NUM_RET2,NUM_RET3,NUM_RET4,NUM_RET5,X_SF,Y_SF,Z_SF,X_MIN,Y_MIN,X_MAX,Y_MAX,Z_MIN,Z_MAX,LONG_MIN,LAT_MIN,LONG_MAX,LAT_MAX,COMPRESSION,INTENSITY_MIN,INTENSITY_MAX,NUM_RET_MIN,NUM_RET_MAX,NUM_GROUND,NUM_LOWVEG,NUM_MEDVEG,NUM_HIVEG
AND_2014,ANDL2940C9715_2014.laz, 'TerraScan',7294376,3060314,2249708,1337320,647034,0,0.01,0.01,0.01,294750.01,9715000,295000.75,9716000.12,76.03,212.11,-46.84606444,-2.577121479,-46.84379702,-2.568081262, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,3710,1,4,3067179,818701,156822,252714
AND_2014,ANDL2940C9716_2014.laz, 'TerraScan',7229334,3031664,2233512,1330102,634056,0,0.01,0.01,0.01,294750.01,9715999.98,295000.73,9717000.1,76.29,213.88,-46.84605144,-2.568079256,-46.84378426,-2.559039027, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4091,1,4,3031247,798630,168350,321689
AND_2014,ANDL2940C9717_2014.laz, 'TerraScan',8998452,3581160,2865377,1747642,804273,0,0.01,0.01,0.01,294750.01,9716999.98,295000.78,9718000.16,77.33,201.29,-46.84603847,-2.559036851,-46.84377091,-2.549996067, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,3453,1,4,3580657,715954,251477,745818
AND_2014,ANDL2940C9718_2014.laz, 'TerraScan',5229589,3116967,1357189,544052,211381,0,0.01,0.01,0.01,294750.01,9718000,295000.72,9719000.13,64.6,199.41,-46.84602556,-2.549994264,-46.84375859,-2.540953918, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4091,1,4,3117648,1760409,1084268,1098886
AND_2014,ANDL2940C9719_2014.laz, 'TerraScan',7752376,3376521,2430174,1359165,586516,0,0.01,0.01,0.01,294750.01,9719000.02,295000.69,9719999.99,57.47,118.09,-46.84601269,-2.540951676,-46.84374606,-2.531912763, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4091,1,4,3380400,949245,419041,567421
AND_2014,ANDL2950C9715_2014.laz, 'TerraScan',45408340,18988292,14034313,8356543,4029192,0,0.01,0.01,0.01,294999.3,9715000,296000.47,9716000.16,65.48,164.27,-46.84382305,-2.577124744,-46.83480849,-2.568093908, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4091,1,4,18996040,4961336,1180282,1491781
AND_2014,ANDL2950C9716_2014.laz, 'TerraScan',45379874,18764470,14104922,8444359,4066123,0,0.01,0.01,0.01,294999.29,9715999.94,296000.5,9717000.16,68.08,181.91,-46.84381015,-2.568082871,-46.83479533,-2.559051446, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4092,1,4,18283812,4555579,682771,1554689
AND_2014,ANDL2950C9717_2014.laz, 'TerraScan',48962986,20187681,15545228,9134855,4095222,0,0.01,0.01,0.01,294999.3,9716999.96,296000.49,9718000.17,71.25,169.49,-46.84379712,-2.559040274,-46.83478259,-2.550008892, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4091,1,4,17887053,4130818,551833,2541343
AND_2014,ANDL2950C9718_2014.laz, 'TerraScan',33515163,18766662,8766151,4302633,1679717,0,0.01,0.01,0.01,294999.31,9717999.96,296000.48,9719000.15,61.97,152.74,-46.84378413,-2.549997856,-46.83476988,-2.540966608, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4092,1,4,18771564,10006243,5496323,6087874
AND_2014,ANDL2950C9719_2014.laz, 'TerraScan',46245034,19956224,14771052,8146522,3371236,0,0.01,0.01,0.01,294999.3,9718999.96,296000.48,9720000.15,57.74,137.56,-46.84377136,-2.540955437,-46.83475714,-2.531924141, LASzip compression (version 2.2r0 c2 50000): POINT10 2 GPSTIME11 2,1,4092,1,4,19957221,5188232,2058755,3998817
