LiDAR Coverage Area Analysis
==================================================

Total number of LiDAR tiles: 3,152
Total area covered: 115,429.67 hectares
Total area covered: 1,154.30 square kilometers
Total area covered: 1,154,296,712 square meters

Individual Tile Areas:
--------------------------------------------------
Tile Name                                Area (hectares)
--------------------------------------------------
DUC_A01_2008_laz_13.laz                  327.76         
TAP_A04_2008_15-02.laz                   267.10         
TAP_A04_2008_laz_0.laz                   267.10         
TAP_A04_2008_15-04.laz                   265.24         
TAP_A04_2008_laz_1.laz                   265.24         
TAP_A04_2008_15-01.laz                   260.29         
TAP_A04_2008_laz_3.laz                   260.29         
TAP_A04_2008_15-03.laz                   258.59         
TAP_A04_2008_laz_2.laz                   258.59         
TAP_A06_2008_17-01.laz                   144.83         
TAP_A06_2008_laz_0.laz                   144.83         
TAP_A02_2012_laz_5.laz                   139.91         
DUC_A01_2008_laz_7.laz                   131.70         
DUC_A01_2008_laz_9.laz                   130.08         
DUC_A01_2008_laz_2.laz                   128.84         
DUC_A01_2008_laz_10.laz                  127.95         
DUC_A01_2008_laz_0.laz                   127.94         
DUC_A01_2008_laz_4.laz                   121.38         
DUC_A01_2008_laz_6.laz                   121.02         
DUC_A01_2008_laz_3.laz                   121.01         
DUC_A01_2008_laz_1.laz                   121.00         
DUC_A01_2008_laz_12.laz                  121.00         
DUC_A01_2008_laz_11.laz                  121.00         
DUC_A01_2008_laz_8.laz                   120.99         
DUC_A01_2008_laz_5.laz                   119.82         
MMA_A01_2017_laz_5.laz                   103.46         
MMA_A01_2017_laz_2.laz                   103.46         
FNB_A01_2014_laz_18.laz                  103.13         
FNB_A01_2014_laz_5.laz                   103.10         
FNB_A01_2014_laz_1.laz                   103.10         
FNB_A01_2014_laz_6.laz                   103.09         
FNB_A01_2014_laz_11.laz                  103.08         
FNB_A01_2014_laz_16.laz                  102.96         
CAG_A01_2013_laz_3.laz                   102.64         
CAG_A01_2013_laz_14.laz                  102.64         
CAG_A01_2013_laz_12.laz                  102.62         
CAG_A01_2013_laz_2.laz                   102.62         
CAG_A01_2013_laz_15.laz                  102.62         
CAG_A01_2013_laz_19.laz                  102.61         
CAG_A01_2013_laz_4.laz                   102.61         
CAN_A01_2014_laz_1.laz                   102.40         
CAN_A01_2014_laz_2.laz                   102.39         
CAN_A02_2014_laz_5.laz                   102.19         
CAN_A02_2017_LAS_2.laz                   102.19         
CAN_A02_2014_laz_1.laz                   102.19         
CAN_A02_2017_LAS_3.laz                   102.19         
FNA_A01_2013_laz_9.laz                   102.13         
FNA_A01_2013_laz_5.laz                   102.11         
FNA_A01_2013_laz_7.laz                   102.11         
FNA_A01_2013_laz_17.laz                  102.11         
FNA_A01_2013_laz_16.laz                  102.11         
FNA_A01_2013_laz_18.laz                  102.10         
FNA_A01_2018_LAS_9.laz                   102.09         
FNA_A01_2018_LAS_2.laz                   102.09         
FNA_A01_2018_LAS_10.laz                  102.08         
FNA_A01_2018_LAS_3.laz                   102.08         
FNA_A01_2018_LAS_4.laz                   102.08         
FNA_A01_2018_LAS_11.laz                  102.08         
FND_A03_2017_laz_3.laz                   102.04         
FN3_A01_2014_P22_laz_1.laz               102.04         
FND_A03_2017_laz_2.laz                   102.03         
TAN_A01_2012_laz_16.laz                  101.83         
TAN_A01_2012_laz_18.laz                  101.82         
TAN_A01_2012_laz_4.laz                   101.80         
TAN_A01_2012_laz_20.laz                  101.80         
TAN_A01_2012_laz_6.laz                   101.79         
COT_A01_2011_laz_15.laz                  101.77         
COT_A01_2011_laz_8.laz                   101.77         
TAN_A01_2014_laz_8.laz                   101.76         
TAN_A01_2014_laz_3.laz                   101.75         
COT_A01_2011_laz_14.laz                  101.75         
TAN_A01_2014_laz_5.laz                   101.74         
COT_A01_2011_laz_4.laz                   101.74         
TAN_A01_2014_laz_20.laz                  101.74         
TAN_A01_2014_laz_17.laz                  101.73         
BON_A01_2018_LAS_5.laz                   101.66         
BON_A01_2018_LAS_1.laz                   101.66         
BON_A01_2013_laz_1.laz                   101.66         
BON_A01_2013_laz_8.laz                   101.66         
BON_A01_2018_LAS_0.laz                   101.66         
BON_A01_2013_laz_11.laz                  101.65         
BON_A01_2018_LAS_4.laz                   101.65         
BON_A01_2013_laz_5.laz                   101.65         
RIB_A01_2018_LAS_3.laz                   101.52         
RIB_A01_2018_LAS_1.laz                   101.52         
RIB_A01_2014_laz_8.laz                   101.52         
RIB_A01_2014_laz_12.laz                  101.52         
RIB_A01_2018_LAS_4.laz                   101.52         
RIB_A01_2014_laz_2.laz                   101.52         
RIB_A01_2018_LAS_2.laz                   101.52         
RIB_A01_2014_laz_7.laz                   101.52         
RIB_A01_2018_LAS_9.laz                   101.52         
RIB_A01_2014_laz_11.laz                  101.51         
RIB_A01_2014_laz_15.laz                  101.51         
RIB_A01_2018_LAS_12.laz                  101.51         
RIB_A01_2018_LAS_6.laz                   101.51         
RIB_A01_2014_laz_6.laz                   101.51         
RIB_A01_2018_LAS_0.laz                   101.51         
RIB_A01_2014_laz_10.laz                  101.51         
SFX_A01_2012_laz_7.laz                   101.46         
SFX_A01_2012_laz_10.laz                  101.44         
SFX_A01_2012_laz_4.laz                   101.41         
SFX_A01_2012_laz_5.laz                   101.40         
TAL_A01_2018_LAS_8.laz                   101.32         
TAL_A01_2013_laz_1.laz                   101.32         
CAU_A01_2014_laz_17.laz                  101.32         
CAU_A01_2014_laz_0.laz                   101.32         
CAU_A01_2014_laz_14.laz                  101.32         
TAL_A01_2018_LAS_6.laz                   101.32         
CAU_A01_2014_laz_18.laz                  101.31         
TAL_A01_2013_laz_7.laz                   101.31         
CAU_A01_2014_laz_7.laz                   101.29         
CAU_A01_2014_laz_3.laz                   101.26         
PAR_A01_2013_laz_16.laz                  101.24         
PAR_A01_2013_laz_17.laz                  101.23         
PAR_A01_2013_laz_7.laz                   101.23         
PAR_A01_2013_laz_13.laz                  101.22         
PAR_A01_2013_laz_15.laz                  101.21         
SFX_A02_2012_laz_12.laz                  101.16         
SFX_A02_2012_laz_6.laz                   101.15         
ANT_A01_2011_laz_2.laz                   101.15         
ANTL5800C8971_cleaned.laz                101.15         
ANT_A01_2011_laz_0.laz                   101.14         
ANTL5790C8971_cleaned.laz                101.14         
ANT_A01_2011_laz_4.laz                   101.14         
ANTL5780C8971_cleaned.laz                101.14         
SFX_A02_2012_laz_7.laz                   101.14         
ANT_A01_2011_laz_9.laz                   101.13         
ANTL5770C8971_cleaned.laz                101.13         
CAU_A01_2012_laz_6.laz                   101.13         
CAU_A01_2012_laz_15.laz                  101.13         
CAU_A01_2012_laz_3.laz                   101.13         
CAU_A01_2012_laz_18.laz                  101.13         
CAU_A01_2012_laz_17.laz                  101.13         
CAU_A01_2012_laz_0.laz                   101.13         
SFX_A02_2012_laz_9.laz                   101.12         
SFX_A02_2012_laz_11.laz                  101.12         
SFX_A02_2012_laz_10.laz                  101.10         
BAR_A01_2014_laz_12.laz                  101.10         
TAP_A03_2012_laz_14.laz                  101.09         
BAR_A01_2014_laz_9.laz                   101.09         
BAR_A01_2014_laz_11.laz                  101.09         
AND_A01_2013_laz_9.laz                   101.08         
AND_A01_2013_laz_2.laz                   101.08         
AND_A01_2013_laz_13.laz                  101.07         
AND_A01_2013_laz_6.laz                   101.07         
AND_A01_2013_laz_5.laz                   101.07         
TAP_A03_2012_laz_11.laz                  101.07         
BAR_A01_2014_laz_2.laz                   101.07         
TAP_A03_2012_laz_13.laz                  101.07         
PAR_A01_2013_laz_optional_14.laz         101.07         
PAR_A01_2013_laz_optional_10.laz         101.07         
PAR_A01_2013_laz_optional_16.laz         101.07         
PAR_A01_2013_laz_optional_17.laz         101.06         
PAR_A01_2013_laz_optional_1.laz          101.06         
ST3_A01_2014_P27_laz_6.laz               101.06         
ST3_A01_2014_P27_laz_9.laz               101.06         
BA3_A01_2014_laz_9.laz                   101.06         
BAR_A01_2014_laz_16.laz                  101.05         
ST3_A01_2018_P26_LAS_5.laz               101.05         
BAR_A01_2014_laz_15.laz                  101.04         
ST3_A01_2018_P26_LAS_7.laz               101.04         
TAP_A03_2016_laz_12.laz                  101.04         
TAP_A03_2016_laz_15.laz                  101.04         
TAP_A03_2016_laz_14.laz                  101.04         
ANA_A01_2017_laz_8.laz                   101.04         
SAN_A02_2014_laz_4.laz                   101.04         
ANA_A01_2018_LAS_9.laz                   101.04         
ANA_A01_2017_laz_0.laz                   101.04         
SAN_A02_2014_laz_17.laz                  101.04         
ANA_A01_2018_LAS_6.laz                   101.04         
BAR_A01_2014_laz_3.laz                   101.02         
DUC_A01_2012_laz_12.laz                  101.01         
DUC_A01_2012_laz_10.laz                  101.01         
DUC_A01_2012_laz_17.laz                  101.01         
DUC_A01_2017_LAS_1.laz                   101.01         
DUC_A01_2017_LAS_9.laz                   101.01         
DUC_A01_2017_LAS_10.laz                  101.01         
DUC_A01_2012_laz_5.laz                   101.01         
DUC_A01_2012_laz_6.laz                   101.01         
DUC_A01_2012_laz_3.laz                   101.01         
TAP_A03_2013_laz_12.laz                  101.01         
DUC_A01_2017_LAS_8.laz                   101.01         
DUC_A01_2017_LAS_2.laz                   101.01         
DUC_A01_2017_LAS_3.laz                   101.01         
TAP_A03_2013_laz_8.laz                   101.01         
DUC_A01_2012_laz_7.laz                   101.01         
DUC_A01_2012_laz_4.laz                   101.01         
TAP_A03_2013_laz_9.laz                   101.01         
ST3_A01_2014_P17_laz_8.laz               101.00         
ST3_A01_2014_P17_laz_3.laz               101.00         
SAN_A01_2014_laz_10.laz                  101.00         
ST3_A01_2018_P26_LAS_4.laz               101.00         
SAN_A01_2014_laz_11.laz                  101.00         
TAP_A04_2018_LAS_2.laz                   101.00         
TAP_A04_2018_LAS_0.laz                   101.00         
TAP_A04_2018_LAS_7.laz                   101.00         
TAP_A01_2012_laz_10.laz                  100.99         
TAP_A01_2012_laz_12.laz                  100.98         
TAP_A01_2012_laz_7.laz                   100.98         
TAP_A01_2008_14-04.laz                   100.98         
TAP_A01_2008_laz_2.laz                   100.98         
TAP_A01_2012_laz_11.laz                  100.98         
TAP_A01_2008_14-03.laz                   100.98         
TAP_A01_2008_laz_1.laz                   100.98         
TAP_A01_2012_laz_13.laz                  100.98         
TAP_A01_2008_14-02.laz                   100.98         
TAP_A01_2008_laz_0.laz                   100.98         
TAC_A01_2013_laz_1.laz                   100.97         
TAC_A01_2013_laz_9.laz                   100.97         
TAC_A01_2013_laz_7.laz                   100.96         
ST3_A01_2014_P06_laz_6.laz               100.96         
TAC_A01_2013_laz_15.laz                  100.96         
TAC_A01_2013_laz_0.laz                   100.96         
TAC_A01_2013_laz_5.laz                   100.96         
TAC_A01_2013_laz_10.laz                  100.96         
AND_A01_2013_laz_optional_12.laz         100.93         
AND_A01_2017_LAS_14.laz                  100.93         
AND_A01_2013_laz_optional_13.laz         100.93         
AND_A01_2017_LAS_9.laz                   100.93         
AND_A01_2013_laz_optional_14.laz         100.93         
AND_A01_2017_LAS_6.laz                   100.93         
AND_A01_2013_laz_optional_10.laz         100.93         
AND_A01_2017_LAS_10.laz                  100.93         
AND_A01_2013_laz_optional_11.laz         100.93         
AND_A01_2017_LAS_2.laz                   100.93         
TAP_A01_2008_14-01.laz                   100.90         
TAP_A01_2008_laz_3.laz                   100.90         
FST_A01_2013_laz_16.laz                  100.81         
FST_A01_2013_laz_5.laz                   100.81         
FST_A01_2013_laz_12.laz                  100.81         
FST_A01_2013_laz_7.laz                   100.81         
FST_A01_2013_laz_15.laz                  100.81         
FST_A01_2013_laz_13.laz                  100.81         
FST_A01_2013_laz_18.laz                  100.81         
FST_A01_2013_laz_10.laz                  100.81         
JAM_A03_2013_laz_13.laz                  100.73         
JAM_A03_2013_laz_5.laz                   100.73         
JAM_A03_2013_laz_14.laz                  100.72         
JAM_A03_2013_laz_7.laz                   100.72         
JAM_A03_2013_laz_6.laz                   100.72         
JAM_A03_2013_laz_10.laz                  100.72         
CAG_A01_2013_laz_1.laz                   100.72         
SDM_A01_2012_laz_3.laz                   100.65         
SDM_A01_2012_laz_8.laz                   100.65         
SDM_A01_2012_laz_11.laz                  100.64         
SDM_A01_2012_laz_20.laz                  100.64         
ST3_A01_2018_P24_LAS_7.laz               100.48         
PAR_A01_2013_laz_8.laz                   100.10         
FN3_A01_2014_P07_laz_2.laz               100.09         
PAR_A01_2013_laz_optional_3.laz          99.98          
DUC_A01_2012_laz_2.laz                   99.68          
TAL_A01_2013_laz_2.laz                   99.65          
FST_A01_2013_laz_8.laz                   99.16          
DUC_A01_2017_LAS_18.laz                  98.99          
TAP_A04_2018_LAS_9.laz                   98.70          
ST3_A01_2014_P27_laz_0.laz               98.42          
SAN_A02_2014_laz_9.laz                   98.29          
TAP_A01_2012_laz_6.laz                   98.27          
BON_A01_2018_LAS_11.laz                  97.92          
TAP_A03_2018_LAS_8.laz                   97.76          
RIB_A01_2018_LAS_11.laz                  97.63          
DUC_A01_2017_LAS_19.laz                  97.49          
SDM_A01_2012_laz_2.laz                   97.22          
ST3_A01_2018_P06_LAS_4.laz               97.18          
ST3_A01_2014_P25_laz_4.laz               96.92          
FNB_A01_2014_laz_17.laz                  96.05          
SFX_A02_2012_laz_5.laz                   96.04          
DUC_A01_2017_LAS_13.laz                  96.00          
ST3_A01_2014_P24_laz_6.laz               95.65          
TAP_A06_2018_LAS_0.laz                   95.59          
RIB_A01_2018_LAS_16.laz                  95.51          
TAC_A01_2013_laz_2.laz                   95.20          
COT_A01_2011_laz_9.laz                   95.16          
TAN_A01_2012_laz_14.laz                  95.13          
TAN_A01_2014_laz_6.laz                   95.09          
CAN_A02_2017_LAS_9.laz                   93.96          
CAN_A02_2017_LAS_7.laz                   93.96          
CAN_A02_2014_laz_0.laz                   93.91          
CAN_A02_2014_laz_3.laz                   93.67          
FST_A01_2013_laz_6.laz                   93.56          
SFX_A02_2012_laz_3.laz                   93.55          
TAP_A03_2012_laz_10.laz                  93.37          
TAP_A03_2018_LAS_7.laz                   93.33          
TAP_A03_2016_laz_11.laz                  93.32          
SDM_A01_2012_laz_17.laz                  93.31          
TAP_A03_2013_laz_11.laz                  93.30          
SAN_A02_2014_laz_8.laz                   93.16          
PAR_A01_2013_laz_11.laz                  92.71          
PAR_A01_2013_laz_optional_11.laz         92.62          
SDM_A01_2012_laz_13.laz                  92.61          
TAP_A03_2012_laz_3.laz                   92.26          
TAP_A03_2016_laz_4.laz                   92.23          
ANA_A01_2018_LAS_11.laz                  92.23          
TAP_A03_2013_laz_1.laz                   92.21          
FNB_A01_2014_laz_0.laz                   92.13          
FN3_A01_2014_P22_laz_8.laz               92.09          
ANA_A01_2017_laz_4.laz                   91.96          
ANA_A01_2017_laz_11.laz                  91.76          
ST3_A01_2014_P17_laz_0.laz               91.63          
ANA_A01_2017_laz_5.laz                   91.55          
FNB_A01_2014_laz_2.laz                   91.47          
ST3_A01_2018_P30_LAS_7.laz               91.28          
ST3_A01_2014_P03_laz_4.laz               90.73          
TAC_A01_2013_laz_11.laz                  90.67          
JAC_A03_2015_laz_2.laz                   90.62          
SFX_A02_2012_laz_13.laz                  90.49          
TAN_A01_2014_laz_1.laz                   90.13          
TAN_A01_2012_laz_1.laz                   90.12          
HUM_A01_2013_laz_6.laz                   90.09          
FN3_A01_2014_P05_laz_5.laz               89.61          
TAL_A01_2018_LAS_2.laz                   89.59          
FN3_A01_2014_P19_laz_6.laz               89.53          
TAP_A03_2018_LAS_3.laz                   89.37          
ST3_A01_2014_P26_laz_1.laz               89.15          
ANA_A01_2018_LAS_3.laz                   88.71          
MMA_A01_2017_laz_8.laz                   88.16          
SAN_A01_2014_laz_3.laz                   88.07          
FNC_A04_2017_laz_1.laz                   87.81          
ST3_A01_2014_P20_laz_3.laz               87.59          
FNA_A01_2013_laz_11.laz                  87.55          
FNA_A01_2013_laz_15.laz                  87.54          
FN3_A01_2014_P01_laz_9.laz               87.38          
ST3_A01_2014_P06_laz_0.laz               87.14          
FST_A01_2013_laz_17.laz                  87.12          
TAL_A01_2018_LAS_5.laz                   87.00          
ST3_A01_2018_P13_LAS_0.laz               86.79          
FNC_A03_2017_laz_1.laz                   86.46          
ST3_A01_2018_P20_LAS_5.laz               86.46          
TAC_A01_2013_laz_4.laz                   86.21          
SFX_A01_2012_laz_6.laz                   85.78          
FN3_A01_2014_P07_laz_7.laz               85.65          
CAU_A01_2014_laz_12.laz                  85.57          
HUM_A01_2013_laz_7.laz                   85.56          
SAN_A02_2014_laz_15.laz                  85.54          
CAU_A01_2012_laz_13.laz                  85.45          
BON_A01_2013_laz_6.laz                   85.12          
ST3_A01_2018_P30_LAS_5.laz               84.96          
FN3_A01_2014_P22_laz_7.laz               84.91          
ST3_A01_2014_P03_laz_2.laz               84.38          
TAP_A04_2018_LAS_8.laz                   84.35          
RIB_A01_2018_LAS_8.laz                   84.32          
ST3_A01_2014_P30_laz_1.laz               84.30          
CAU_A01_2014_laz_19.laz                  84.20          
ST3_A01_2014_P24_laz_5.laz               84.19          
FN3_A01_2014_P01_laz_2.laz               84.16          
ST3_A01_2014_P14_laz_9.laz               84.12          
CAU_A01_2012_laz_19.laz                  84.09          
PAR_A01_2013_laz_4.laz                   83.96          
PAR_A01_2013_laz_optional_8.laz          83.84          
FND_A01_2017_las_4.laz                   83.80          
ANA_A01_2018_LAS_1.laz                   83.51          
FN3_A01_2014_P29_laz_5.laz               83.46          
DUC_A01_2012_laz_1.laz                   83.34          
ANA_A01_2018_LAS_4.laz                   83.30          
DUC_A01_2012_laz_13.laz                  83.17          
CAU_A01_2014_laz_1.laz                   82.86          
FST_A01_2013_laz_19.laz                  82.75          
CAU_A01_2012_laz_1.laz                   82.71          
FST_A01a_2015_laz_4.laz                  82.67          
FNB_A01_2014_laz_9.laz                   82.66          
JAM_A03_2013_laz_19.laz                  82.56          
JAM_A03_2013_laz_4.laz                   82.56          
JAM_A03_2013_laz_18.laz                  82.56          
ST3_A01_2014_P06_laz_8.laz               82.53          
HUM_A01_2013_laz_8.laz                   82.45          
FN3_A01_2014_P12_laz_1.laz               82.29          
PAR_A01_2013_laz_10.laz                  82.10          
PAR_A01_2013_laz_optional_13.laz         82.01          
ST3_A01_2014_P26_laz_5.laz               82.01          
PAR_A01_2013_laz_6.laz                   81.60          
ST3_A01_2014_P20_laz_1.laz               81.57          
FST_A01a_2014_laz_5.laz                  81.54          
PAR_A01_2013_laz_optional_7.laz          81.52          
FST_A01b_2014_laz_1.laz                  81.39          
ST3_A01_2014_P13_laz_1.laz               81.38          
ST3_A01_2018_P13_LAS_2.laz               81.11          
CAU_A01_2014_laz_6.laz                   80.98          
CAU_A01_2012_laz_7.laz                   80.84          
ST3_A01_2018_P20_LAS_7.laz               80.75          
DUC_A01_2012_laz_0.laz                   80.70          
TAL_A01_2013_laz_5.laz                   80.58          
SAN_A02_2014_laz_3.laz                   80.42          
TAL_A01_2013_laz_9.laz                   79.75          
ANA_A01_2018_LAS_10.laz                  79.72          
CAU_A01_2014_laz_15.laz                  79.61          
FN3_A01_2014_P29_laz_3.laz               79.58          
ANA_A01_2018_LAS_7.laz                   79.51          
CAU_A01_2012_laz_14.laz                  79.47          
TAP_A02_2018_LAS_7.laz                   79.38          
TAP_A03_2018_LAS_10.laz                  79.31          
ST3_A01_2018_P09_LAS_2.laz               79.27          
SFX_A02_2012_laz_14.laz                  79.09          
FN3_A01_2014_P02_laz_6.laz               79.07          
ST3_A01_2014_P14_laz_0.laz               78.70          
FN3_A01_2014_P15_laz_6.laz               78.70          
TAP_A02_2016_laz_6.laz                   78.50          
